clean_text,category
biopic indian prime minister narendra modi sparks propaganda controversy ahead elections ,-1.0
"here’ why nris support namo
top reasons support modi
promises delivered ",1.0
modi has been good really printed new currency and exchanged much more than estimated called grey ,1.0
"just yrs assam under the leadership modi sonowal has developed leaps bounds various sectors compare the progress pattern before and after bjp the results
are real eyeopener
",1.0
india tests antisatellite weapon asat establishes itself major space power modi ,1.0
"modi bjp have achievements name his party people are just resorting same old tricks fool people
✖️pakistan still counting bodies
✖️pakistan will celebrate you dont vote for bjp
✖️all opposition parties are antinational vote out bjp ",1.0
before 2014 polls modi had promised bring back black money worth lakhs 120 crores population 1800 lakh crore rupees also promised gift out this honest tax payers which amounts 51800 lakh crores,1.0
unless repeats his 2014 performance leader will play crucial role putting together the alternative and hold the remote control over sitting comfortably writes ,1.0
also wtf wrong with modi making that biopic its such cringe move get stupid votes him saw the trailer and all can say india wake smart for once ,-1.0
remonetise back corruption ,0.0
rip where the media outrage now award wapasi candle march placard sanvidhan khatre main hai this incident would happened bjp ruled state then within time modi would held responsible some channels surely would turn their screen black,1.0
haha you have nothing say hell chor khin ,1.0
the has every right announce and take credit just because you don’ like the can understand your frustration modi achieving another milestone,1.0
name the satellite phatichar modi checking ,0.0
watch one end theres damdaar chowkidar and the other swarm daagdars modis fiery attack opposition ,-1.0
the bollywood factor indias election ,0.0
youths for modi elderly for modi middleclass for modi the nation aware the thuggery false promises family sonia maino the silent poison india,-1.0
modi addresses rally odisha priyanka gandhi meets supporters amethi ndtv news ,0.0
goodu left the bjp own much awaited announcement was real pain for patna sahib bjp supporters how support modi without supporting relifewish true indians grow individual benefits keep nation 1st ,1.0
hats scientist modiji,0.0
its great thought support shmodi this time,1.0
you sent your complaint railway minister who forwarded and you got response from govt dept within hours this efficiency indian government and departments modi hai toh mumkin hai,-1.0
bhai please all know what going pakistan you may secular but not majority the pakistanis you know that well ‘ 100 against the mob lynching beef eater but trust this very minor issue india and modi has nothing with ,-1.0
yes something amiss  nitish sabotaging modis campaignprashant spends more time with jagan aditya thackerayshiv sena campaign too slow trajectorybesides too secular spiritare they trying save our constitution conspiracy theories mind ,1.0
modis recognitions awards and honours mentioned below ,0.0
you should enjoy and stop being indian for moment  modi the rocket man ,1.0
"not want some hidden logic accepting like look forward answer the policies modi not another version don quixote
pls explain all the details have open debate with economists from all sides take people into confidence",-1.0
money modi,0.0
are you against modi voting nota,0.0
"canadian giving credit modi
what the hell going
drdo started long ago when modi even didnt what the purpose that organisation
some bhakt will say central govt funds that org modi jagah koi bhi fund sanction krna padega
proud drdo ",1.0
think not listening what drdo chief and isro chief said previous govt did not have pole willpower and thats difference and thats why modi deserves credit,-1.0
funde modi and amit shah winning election just politics there sharp surge the modi popularity modi wave back and next day giriraj will not able save his seat from one the most favoured place for bjp kya baat hai ,1.0
one more pidi patrakar added into groups anti modi journalist ,1.0
this the danger modi not returning power  land will taken back ,0.0
then should shekhar gupta another guy who got 4judges street against modi ,0.0
"apparently modi going hold power for another tenure modi and his notch body all endia and pakistan needs work out something different than last decades
looks like modi going game changer endian history ",-1.0
once again her modi,0.0
and modi confident that can win from anywhere let him contest against rahul wayand which per muslim dominated constituency let see modi has really empowered the minority community and lets see they are happy with him hai dum,1.0
thank you modiji for acknowledging that india the fourth space power the world that status india acquired the last five years right india conducts asat test shoots down low earth orbit satellite via ,1.0
"great achievement india why modi should not given due credit when rahul gandhi destroy national sensibility every other day what rajiv gandhi did that his son claims telecom revolutionwhat nehru indira did for green and white revolution
hats off isro and ",1.0
didn’ realise these three parties were allies whose support was critical for the modi government’ continued survival they managed stop the bjp’ divisive agenda then well done the three them ,0.0
hating modi congress undermining matters national interest via ,0.0
201112 there was case corruption registered against drsaraswat and website too called something you would pleased know even there modis favorite dassault company was involved have listen him must nuts,1.0
wants say “ hate modi”,-1.0
the most stupid all ideas ideas shall not planted just defeat modi simply impractical just followin from 2014 making promises tht may never get implemented its also assuming public memory short this folows many other statements ,1.0
looks like this has happened all sudden after yrs congress did thing modi came and built isro and launched everything  ,0.0
modi supporter bcos his work also supporter for same reason but just for dont need anti modi anti modism has taken toll much that ready part the corrupt gang ,-1.0
just last year isro failed launch satellite due radio contact failure and the whole gaddaar mandali blamed modi now when drdo’ scientists have successfully accomplished mission shakti instead crediting them congress crediting nehru for establishing drdo,-1.0
modi didnt leave where his win was guaranteed but came the lions den and threw the gauntlet when pundits had predicted the hindi heartland wont accept outsider didnt seek safe seat big difference,1.0
the biggest election debate with the most trusted opinion makers modi’ mantri calls rahul’ 72000 per year minimum basic income for the poor ‘big bluff’ at8pm you believe rahul’ sop will benefit cong join tweet your view with ,1.0
are with modi led bjp jai hind,0.0
sends notice the producers modis biopic with the details ,0.0
still coward modi took action corruption his pay master tdk ,1.0
there was need for political “will act” for only could our savior out jai hind jai ,0.0
voting for modi makes bigot feel shame calling self bigot atleast this making sure that gadheda ghandi does not come into power,1.0
since when modi started debating with jehadis ,0.0
looks like current ndtv journos contract identifiying empty seats modi rallies and post  ,-1.0
would definitely like ask this question the congress men whether they will open new accounts they will ise the accounts open under jan dhan yojna and you cant answer this question you have right question modi ,1.0
move that resembles modis swachh bharat campaign has called for improving toilets across china especially rural areas ,0.0
nice very nice lain liked shalut narendra modi bhi chokidar aap best india narendra modi ,1.0
till 2019 budget mocked modi saying modi putting burden middle class not reducing tax slabsthe same media house now saying minimum income guarantee possible raising tax its not problem,0.0
left out alphabet india and all indians vote for chowkidar modi,0.0
not only congress but the paid media too the hatred runs deep not just because look into the future dont see any contribution the congress but that these people can not stand modi comes from humble background and does not fit the elite class,-1.0
good then happy don’ need elections because want modi and only modi,1.0
what about development sir modi sarkar says dont for not then why development not done loni just thought reply was compelled write the above tweet,0.0
why just because modishah didnt give ticket him does exonerate him for what did during ram temple movement has changed his rabid sanghi ideology,0.0
"with pak that christmas trip was more than ‘extra mile’ the military never liked and result was pathankot china the enemy’ enemy still not our bff which could leverage them blocking azhar
modi has been better than his predecessors agreed but that’ not enough",1.0
narendra modi interact with ‘chowkidars’ barak valley silchar karimganj among 500 places ,0.0
have you ever questioned modi for lakh jobs etc promised,0.0
madam modi says congress culture should ended you are saying his what really intend say unfortunate that bjp cannot tolerate oppositionclear fascism,-1.0
yes only modinobody can,0.0
shouldve first united hindus and then joined bjp now when tries unite hindus people will see him sanghi trouble maker also wish didnt praise modi and write book him now should learn from sadhguru how conduct sadhguru even supports ram mandir can tell,-1.0
tuesday march the national today prime minister narendra modis biopic thinly disguised propaganda canadas diabetes crisis spain not sorry mexico via ,-1.0
development railways modi govt north east region has ensured smooth movement people goods trade commerce broad gauging capital connectivity rail projects are underway meghalaya tripura mizoram have come india’ rail map for first time,1.0
the strongest reason for indians vote modi for 2nd term,0.0
hahaha yeah the dim highly intellect lol thats why modi won champions the earth award and many others,1.0
laughing out loud lol congress incompetence congress dynast self assumed royale shameful democarcy india will never elect congress govern bjp will win big people adore selflesstireless decisive versatile chowkidar shri narendra modi jiteambjp,1.0
absolutely like this way many nris who rushed the enjoy welfare benefits nhs etc civilised countries look after all their people like modi believes that only the rich should pampered sucked ,1.0
wins information war against says indian military officer ,1.0
all saying will used mallya and nirav modi english court,0.0
what modi talking about the paid mediawho paid abuse modi,0.0
street ,0.0
this constitutional debate good for india international centre delhi however reality between 0914 and 1419 odisha had almost same set mps yet the development between 1419 way above 0914 how does individual help ,1.0
our country made the name islam feeling proud your country ruled hindu fanatics yogi modirss have rights call yourself sacular state atleast elected sensible measure leader for our democracy unlike chai wala,1.0
anything needs done form the government nda then modi becomes the congress government then what will this country ,0.0
first all your profile pic speaks the reply loudly and its true tum nahi ukhad paoge modi banega  abki baar sarkaar ,1.0
haters gonna hate modi but few deeds which none foresaw implemented with sincerity the use solar power which made our country leader,-1.0
cbn betrayed ntr and atleast percent people stood with himbut for modi guarantee that will lose deposits contests any constituency andhra,0.0
you agree ,0.0
bank cashiers listening modi’ announcement right now ,1.0
starting now with modi dias,0.0
face said wrong were done before 2014 thats why came power that was the wave modi rode power will continue say whats wrong with the polity,-1.0
should vote modi for underground electricity cabling new sewage plants cancer treatment facilities 65th 29th rank swachhata sarvekshan 2016 odf district ,-1.0
modi indeed but anil ambani reduced people poverty rahul gandhi suratgarh ,0.0
today prime minister will address ,0.0
congrats bjp for shooting down satellite carrying 300 pakistani terrorists ,-1.0
akhilesh country people feeling pround this moment you fool saying modi tay tay fuss tay tay fuss congress hone wali hai amethi ,0.0
modi contesting from only one seat just asking modi had won from vadodara and varanasi 2014 won both and chose vacate vadodara,0.0
nobody opposes questions sam made fool himself trying snipe modi and ending sniping india know intellectuals can also foolish when purpose compromised,0.0
you read between the lines then the truth out there because all the good work that modi and his team are doing with the added bonus that scams are nil but obvious that will forever this openly being acknowledged himself ,1.0
the chowki dar who stole billions taxpayers hard earned money and gave billionaire ambani mad modi mega rafale corruption,-1.0
modi only want show his glamour styles youngs acts for flirt nothing has aim,0.0
dragging someone’ parents for the sake assholery then karma should get modi his ilk not ,0.0
will respected modi sarkar,0.0
what has modi given the poor lakhs demo farmer loan waiver crore jobs gst crashed economy ₹ orop this chorkirdari govt has done nothing last years ,-1.0
didi and modi are the two twigs the same plant they both are uproot democratic framework the constitution ,0.0
congratulations drdo scientist great change working under modi,1.0
explains why modi has not met abhinandan said anything about his release think wanted use abhinandan political pawn martyr keep the pakistan issue alive until elections are over probably imran khan realised and released him quickly,1.0
but modi with corporates,0.0
modi’ speech mission shakti didn’ violate model code conduct election commission ,0.0
seems there reverse modi wave ,0.0
actually rahul gandhis tweets are spreading like fire pakistan because congress and isi have same ideology every one knows ashok swain and his desperate attempts but they know that they are failing miserably and modi coming power,-1.0
chhattisgarh ’ father wishes contest against ‘dictator’ modi ,0.0
pls research modi you will shocked his criminal life ,-1.0
yes modi has outplayed them this time,0.0
’ misleading viewers that called political analyst are neutral they are always antimodi antibjp abdul razack one such person,0.0
"really hey come bro ask hafiz sayeed masood azhar leader respect calls him may coz some love affection them
see one thing say that pakistan surely doesnt want modi retain power know come rational point counter this arg",1.0
but south korean channels and will looking for clips from modi interview they can create some misleading videos,0.0
the second pilot ’ hard believe that military even will speak about him who injured and getting treated cmh may that’ part the overall attempt face save india point where modi will have retaliate considering election year,-1.0
wake kid first tell the country for years from 2004 2014 were you sleeping but now modi has executed all new plans you keep tweeting but obe telling that,1.0
knocked down our own satellite all the speculation but really like rahul gandhi modi also needs explain himself the nation ,1.0
even pak airforce jets flying over pak territory can shot down hails modi after ,-1.0
still behind the congress leadership have encourage more scam 2019 modi again,1.0
upcoming shocker after 1st round poll modishah likely speaklike this every rally “ have got information from reliable source that bjp winning”  ,1.0
vote for modi after this ,0.0
yes that means modi cant take advantage this scheme cos dont have wife mother his home ,0.0
rajasthan governor kalyan singh throws dignity governors office out window wants modi return ,1.0
have any proof that modi said give lakh simply created hipe and asking 15lakh like shamless indian peoples are strong enough earn themselves not beggers like ,1.0
they are traditional admk voters hide admk inabilities they try something new with modi but fails,-1.0
modi will have night mares pgb decides contest from varanasi ,0.0
"madam 149 followers hai fir bhi youre unhappy kya baat hai seems youre willing get followers the twitter
what idea madam tabhi mumkin hai kunki modi hai chowkidar pure hai rahul gandhi chor hai robert vadra chor hai ",-1.0
“surf excel” only can clean these kind dirty mentality attitude person modi,1.0
yes will fulfill his promise loot and scooting india jusst like the other ambassador chor narendra modi ,-1.0
rahul congress still playing conventional politics you have not rejigged reset the thinking their new leader you have supported populist schemes and modihate words this your idea for new india youre wasting chance that very few get,-1.0
but who sanctioned these huge loans the first place not modi for sure,1.0
the word whataboutery but then that not the issue glad know that you critique purely fiscal matters dont believe you but then thats prerogative not reflection you stems from the fact that you critique modis divestment policy and the fact that ,1.0
"congress lies are seasonal
when there were elections delhi they came with the topic intolerance
when there were elections bihar their topic was modi will take back all forms reservations
then there was the concept award wapsi ",0.0
shashi 1000s film makers who want modi become again have made many films support and public general also supporting modi dont chamchgiri rahul,1.0
modi the one who expediated the process allocated the funds and was his will whats wrong gets the credit why ppl jealous ,-1.0
urges allow indian cricketers vote wherever they are ,0.0
modi shud have consultes print before this test burnol moment for all congress supporters more will come,1.0
the same person who said has never seen prime minister like modi after independence the assembly how come views are changed cause they are not acting like said that’ called turn uncle,0.0
"modi definitely will win from varanasi lok sabha seat
the development which took place under his leadership will encounter all the opposition schemes and programs",1.0
yes love letters like modi,1.0
"jpscam started modi and jaitely icici records created deleted 
what shameful chaiwalon dhoka nahi kiya hota you when see say shame shame modi",0.0
republic interview modi clear answer about favouring ambani adani capitalism proof modi govt for capitalist good for republic unfortunate for indian republic ilfa siliguri,1.0
the contrary the first family congress has always had negative opinion modi they called him names like maut saudagar khoon dalali zeher khethi name few,-1.0
"from the sanitation campaign run modi
affected jai bhagwan goyal shahdara and the north eastern
launched cleanliness campaign several places delhi",0.0
bhakts anti dalit anti muslim anti christian anti sikh anti buddhist modi yes matters they have destroyed the secular fabric our country and all must step save country these are the people who only knows hatred,0.0
makeinindia defence delegation ceos from tata mahindra reliance accompany modi russia via ,0.0
modi haters stupid voters dont care abt this,-1.0
now dont tell all this because modi bjp,0.0
congratulations drdo space scientists for this great achievement and narendra modi sir for giving permission ahead for this projectand putting india ahead the league,1.0
sir nation with har baar modi aur bjp sarkar ाा ि ाा।,0.0
you mean say everyone was rich before 2014 made people india poor after 2014 did you mean rich before 2014 malaya nirav modi gandhivadraetc after 2014 they all became poor ,-1.0
this the result those years whom look down upon and take credit always modi govt enjoy indiabcs coming times with all education demolishing will back the ground,1.0
"prevention better than cure nothing works like economics
via ",1.0
bro know this not agud thing the economy but same thing bjp did and thn bdy raise single ques eventualy jumlaa all started modi back 2014,-1.0
narcissist has massive inferiority complex pandit nehru terribly desperate usurp science technology fully knowing that legend for his classic plastic surgery strike and yes and boss being chokidar ambani joke aunty,-1.0
basically you are not happy india progress technology your interest limited bjp rss modi godhara right,-1.0
modis bjp backs acquittal hindu men train bombing ,0.0
visceral hate against modi making these delhis lootians insensitive defence matters how can scientists defence come public jeopardizing their personal and national security advice quibble over drdo for taking this task while modi power ,-1.0
did you did you not get that nudge dosti bani rahe comment modis famous words hahah just kidding bro,1.0
"citing reply the finance ministry question parliament the congress says there data jobs created through mudra loans
",0.0
modi done wrong way need blast this into you and all antinatiinals haramkhoro ,-1.0
bro has done some good work delhi education and infra has thrown all this with the gimmicks does just blame modi could have been game changer had fulfilled those promises kutte puch kbi sidhi skti ,1.0
india had the same technology ready 2010 and 2011 then why modi needed come national television just weeks before elections and after failed campaign against pakistan claim they have got now,-1.0
wrong comparison read the menifesto charter rss then you will find zia angel infront this narcissist modi,-1.0
india shot down live satellite space power now says points via ,-1.0
from 1980 2014 terrorist attack india and died people 2743 sometimes times same month same city place which includes delhi mumbai gujrat etc kindly check the wikipedia link below avg less modi govt comparison 198014,1.0
victory all yours✌ baar baar modi sarkar,0.0
saare chor chowkidaar likh rahe hai whole bjp indulge corruption who saving all defaulter like amrapali builder neerav modi malya etc chowkidaar chor hai,1.0
"surgical strikes modi division among brothers
unemployment
dragged nation back years
farmers suicides
economic desaster galli galooch
false claims
unrest the country
chors name change chowkidar
arrogance intolerance hate mongering greed
etc etc etc",-1.0
modis the new index fame,1.0
bro anjana tune dala she the worst women for money she will anythingshe anjana narendra modi,-1.0
@ chowkidar narendra modi you have travel the country propagt against muslims dalits this mission kill all minorities,0.0
mission shakti successful india becomes 4th country the elite space club  proud not ,1.0
election campaign ✌ ,0.0
"niti aayog
ever since india got independence lot planning and execution was done the central level planning commission modi government scrapped the planning commission and introduced niti aayog",0.0
rahul gandhi says chowkidaar modi chor hai modi reponse has urged common man say mein bhi chowkidaar thus making seem like even the common man chor for rahul gandhi and hurting congresss campaign,-1.0
collective reflection our aspirations dreams will make stronger more secure and reinforces the fact that tried well enoughwe can achieve the impossible reach for the stars very imp message pass the youth thank you ,1.0
many ask what has modi done modi building new india hand picking youth who deserve for their hard work just biplane deb now tejasvi year old the making cheers ,1.0
not accused any scam dynastic politics not aggresive leadership opposition like charismaatic modi his debu like chief cong his slips tongue edited mockery false news fake propaganda are tye reason people see him negative light,-1.0
and yet modi waited for the elections boom that can break the news and get some votes could have done the same from the time hes been elections,0.0
"
people india will not fooled they know that only one chowkidar thief modi",0.0
president kovind modi extend greetings rajasthan day new delhi times ,1.0
there belly like modi and needs have large hip well could use little more fat too this just raga drank extra beers,1.0
again the credit goes modi ,0.0
outcome typical modi project ,-1.0
lol then the accusation will that modi using scientists for election campaigns,1.0
